ticker,company name,sector,sub-industry,date first added
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,1957-03-04
AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014-05-08
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,2018-06-18
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,1982-10-31
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,2007-03-02
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,2008-06-23
CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,1957-03-04
COF,Capital One Financial,Financials,Consumer Finance,1998-07-01
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,1997-05-27
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,2010-06-28
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22
CARR,Carrier Global,Industrials,Building Products,2020-04-03
CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1957-03-04
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01
CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10
CDW,CDW,Information Technology,Technology Distributors,2019-09-23
CE,Celanese,Materials,Specialty Chemicals,2018-12-24
CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31
CERN,Cerner,Health Care,Health Care Technology,2010-04-30
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,2008-08-27
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02
CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,1957-03-04
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28
CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29
CI,CIGNA Corp.,Health Care,Managed Health Care,1976-06-30
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18
CTAS,Cintas Corporation,Industrials,Diversified Support Services,2001-03-01
CSCO,Cisco Systems,Information Technology,Communications Equipment,1993-12-01
C,Citigroup Inc.,Financials,Diversified Banks,1988-05-31
CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29
CTXS,Citrix Systems,Information Technology,Application Software,1999-12-01
CLX,The Clorox Company,Consumer Staples,Household Products,1969-03-31
CME,CME Group Inc.,Financials,Financial Exchanges & Data,2006-08-11
CMS,CMS Energy,Utilities,Multi-Utilities,1999-05-03
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,1957-03-04
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,2006-11-17
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,2002-11-19
CMA,Comerica Inc.,Financials,Diversified Banks,1995-12-01
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,2016-02-22
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04
ED,Consolidated Edison,Utilities,Electric Utilities,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01
COO,The Cooper Companies,Health Care,Health Care Supplies,2016-09-23
CPRT,Copart Inc,Industrials,Diversified Support Services,2018-07-02
GLW,Corning Inc.,Information Technology,Electronic Components,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,1993-10-01
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,2012-03-14
CSX,CSX Corp.,Industrials,Railroads,1967-09-30
CMI,Cummins Inc.,Industrials,Industrial Machinery,1965-03-31
CVS,CVS Health,Health Care,Health Care Services,1957-03-04
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2005-06-22
DHR,Danaher Corp.,Health Care,Health Care Equipment,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,
DVA,DaVita Inc.,Health Care,Health Care Facilities,2008-07-31
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1957-03-04
DAL,Delta Air Lines Inc.,Industrials,Airlines,2013-09-11
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30
DXCM,DexCom,Health Care,Health Care Equipment,2020-05-12
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018-12-03
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,2016-05-18
DFS,Discover Financial Services,Financials,Consumer Finance,2007-07-02
DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,2010-03-01
DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,2014-08-07
DISH,Dish Network,Communication Services,Cable & Satellite,2017-03-13
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19
D,Dominion Energy,Utilities,Electric Utilities,
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,2020-05-12
DOV,Dover Corporation,Industrials,Industrial Machinery,1985-10-31
DOW,Dow Inc.,Materials,Commodity Chemicals,2019-04-01
DTE,DTE Energy Co.,Utilities,Multi-Utilities,1957-03-04
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30
DRE,Duke Realty Corp,Real Estate,Industrial REITs,2017-07-26
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,2019-04-02
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017-04-04
EMN,Eastman Chemical,Materials,Diversified Chemicals,1994-01-01
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1989-01-31
EIX,Edison Int'l,Utilities,Electric Utilities,1957-03-04
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,1965-03-31
ETR,Entergy Corp.,Utilities,Electric Utilities,1957-03-04
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02
EFX,Equifax Inc.,Industrials,Research & Consulting Services,1997-06-19
EQIX,Equinix,Real Estate,Specialized REITs,2015-03-20
EQR,Equity Residential,Real Estate,Residential REITs,2001-12-03
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,2014-04-02
EL,Estée Lauder Companies,Consumer Staples,Personal Products,2006-01-05
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21
EVRG,Evergy,Utilities,Electric Utilities,2018-06-05
ES,Eversource Energy,Utilities,Multi-Utilities,
RE,Everest Re Group Ltd.,Financials,Reinsurance,2017-06-19
EXC,Exelon Corp.,Utilities,Multi-Utilities,1957-03-04
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02
EXPD,Expeditors,Industrials,Air Freight & Logistics,2007-10-10
EXR,Extra Space Storage,Real Estate,Specialized REITs,2016-01-19
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,1957-03-04
FFIV,F5 Networks,Information Technology,Communications Equipment,2010-12-20
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,2013-12-23
FAST,Fastenal Co,Industrials,Building Products,2008-09-15
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2016-02-01
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,1980-12-31
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,2006-11-10
FITB,Fifth Third Bancorp,Financials,Regional Banks,
FE,FirstEnergy Corp,Utilities,Electric Utilities,
FRC,First Republic Bank,Financials,Regional Banks,2019-01-02
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,2001-04-02
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,2018-06-20
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,2009-01-02
FLS,Flowserve Corporation,Industrials,Industrial Machinery,2008-10-02
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,2009-08-19
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1957-03-04
FTNT,Fortinet,Information Technology,Systems Software,2018-10-11
FTV,Fortive Corp,Industrials,Industrial Machinery,2016-07-01
FBHS,Fortune Brands Home & Security,Industrials,Building Products,2016-06-22
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2013-07-01
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2015-09-18
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,
FCX,Freeport-McMoRan Inc.,Materials,Copper,
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,1986-08-31
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,2012-12-12
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,2017-04-05
GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04
GE,General Electric,Industrials,Industrial Conglomerates,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1973-12-31
GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01
GL,Globe Life Inc.,Financials,Life & Health Insurance,1989-04-30
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,2016-04-25
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,2002-07-22
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,1981-06-30
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,1957-03-04
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2015-03-20
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,1957-03-04
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,1984-09-30
HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,2008-03-31
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,1957-03-04
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,2018-06-18
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,1964-03-31
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,2009-03-04
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1964-03-31
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31
HUM,Humana Inc.,Health Care,Managed Health Care,
HBAN,Huntington Bancshares,Financials,Regional Banks,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03
IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,2017-01-05
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,2017-06-02
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,2015-11-19
INCY,Incyte,Health Care,Biotechnology,2017-02-28
IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03
INTC,Intel Corp.,Information Technology,Semiconductors,1976-12-31
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,1957-03-04
IP,International Paper,Materials,Paper Packaging,1957-03-04
IPG,Interpublic Group,Communication Services,Advertising,1992-10-01
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31
INTU,Intuit Inc.,Information Technology,Application Software,2000-12-05
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,2008-06-02
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,2008-08-21
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,2018-03-07
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,2017-08-29
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,2009-01-06
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13
J,Jacobs Engineering Group,Industrials,Construction & Engineering,2007-10-26
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,2015-07-01
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,2008-11-06
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30
JCI,Johnson Controls International,Industrials,Building Products,2010-08-27
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,1975-06-30
JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02
KSU,Kansas City Southern,Industrials,Railroads,2013-05-24
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,
KEY,KeyCorp,Financials,Regional Banks,1994-03-01
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2018-11-06
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04
KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,2015-07-06
KR,Kroger Co.,Consumer Staples,Food Retail,1957-03-04
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,1983-09-30
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,2004-11-01
LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,2018-12-03
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,2019-08-09
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,2005-10-04
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,1970-12-31
LNC,Lincoln National,Financials,Multi-line Insurance,1976-06-30
LIN,Linde plc,Materials,Industrial Gases,1992-07-01
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,1984-07-31
L,Loews Corp.,Financials,Multi-line Insurance,
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,1984-02-29
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999-03-25
LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05
MTB,M&T Bank Corp.,Financials,Regional Banks,2004-02-23
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,1991-05-01
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01
MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
MMC,Marsh & McLennan,Financials,Insurance Brokers,1987-08-31
MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02
MAS,Masco Corp.,Industrials,Building Products,1981-06-30
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,2008-07-18
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,2018-12-03
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,1970-06-30
MCK,McKesson Corp.,Health Care,Health Care Distributors,
MDT,Medtronic plc,Health Care,Health Care Equipment,1986-10-31
MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04
MET,MetLife Inc.,Financials,Life & Health Insurance,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,2017-07-26
MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07
MU,Micron Technology,Information Technology,Semiconductors,1994-09-27
MSFT,Microsoft Corp.,Information Technology,Systems Software,1994-06-01
MAA,Mid-America Apartments,Real Estate,Residential REITs,2016-12-02
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28
MCO,Moody's Corp,Financials,Financial Exchanges & Data,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2011-09-26
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,2018-04-04
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,2005-03-14
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,2010-12-20
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30
NEM,Newmont Corporation,Materials,Gold,1969-06-30
NWSA,News Corp. Class A,Communication Services,Publishing,2013-08-01
NWS,News Corp. Class B,Communication Services,Publishing,2015-09-18
NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,2013-07-09
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30
NI,NiSource Inc.,Utilities,Multi-Utilities,
NSC,Norfolk Southern Corp.,Industrials,Railroads,1957-03-04
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1985-06-30
NLOK,NortonLifeLock,Information Technology,Application Software,2003-03-25
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29
NUE,Nucor Corp.,Materials,Steel,1985-04-30
NVDA,Nvidia Corporation,Information Technology,Semiconductors,2001-11-30
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019-09-26
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,2009-03-27
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31
ODFL,Old Dominion Freight Line,Industrials,Trucking,2019-12-09
OMC,Omnicom Group,Communication Services,Advertising,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,2010-03-15
ORCL,Oracle Corp.,Information Technology,Application Software,1989-08-31
OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020-04-03
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,1980-12-31
PKG,Packaging Corporation of America,Materials,Paper Packaging,2017-07-26
PH,Parker-Hannifin,Industrials,Industrial Machinery,1985-11-30
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,
PAYC,Paycom,Information Technology,Application Software,2020-01-28
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20
PNR,Pentair plc,Industrials,Industrial Machinery,2012-10-01
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,2008-11-13
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,1957-03-04
PKI,PerkinElmer,Health Care,Health Care Equipment,1985-05-31
PRGO,Perrigo,Health Care,Pharmaceuticals,2011-12-19
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,1957-03-04
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24
PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30
POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07
PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04
PPL,PPL Corp.,Utilities,Electric Utilities,
PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22
PG,Procter & Gamble,Consumer Staples,Personal Products,1957-03-04
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,1997-08-04
PLD,Prologis,Real Estate,Industrial REITs,2003-07-17
PRU,Prudential Financial,Financials,Life & Health Insurance,2002-07-22
PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,1957-03-04
PSA,Public Storage,Real Estate,Specialized REITs,2005-08-19
PHM,PulteGroup,Consumer Discretionary,Homebuilding,1984-04-30
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15
QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,2009-07-01
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,
DGX,Quest Diagnostics,Health Care,Health Care Services,2002-12-12
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02
RJF,"Raymond James Financial, Inc.",Financials,Investment Banking & Brokerage,2017-03-20
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,
